route,route_type,garage_code,garage_name,operator,vehicle,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
35,twentyfour,Q,Camberwell,Go-Ahead,DD,,7.0,6.5,6.5,2.5,5.0,13.947,8.666
36,twentyfour,NX,New Cross,Go-Ahead,DD,,8.0,7.5,7.5,3.0,5.0,16.592,10.31
37,twentyfour,PM,Peckham,Go-Ahead,DD,,5.5,5.5,5.5,2.5,5.5,15.475,9.616
38,regular,CT,Clapton,Arriva,DD,,12.0,12.0,12.0,0.0,10.0,12.361,7.681
39,regular,AF,Putney,Go-Ahead,SD,,6.5,6.5,6.5,0.0,5.0,9.953,6.185
40,regular,Q,Camberwell,Go-Ahead,DD,,7.0,7.0,6.0,0.0,4.0,9.464,5.881
41,regular,AR,Tottenham,Arriva,DD,,11.0,10.0,10.0,0.0,7.5,8.065,5.011
42,regular,Q,Camberwell,Go-Ahead,DD,,4.0,4.0,4.0,0.0,4.0,12.009,7.462
43,twentyfour,HT,Holloway,Metroline,DD,,8.0,7.5,7.5,2.5,6.0,15.713,9.764
44,regular,SW,Stockwell,Go-Ahead,DD,,5.5,6.0,6.0,0.0,4.0,11.868,7.375
45,regular,WL,Walworth,Transport UK,DD,,4.5,4.5,4.5,0.0,4.0,15.767,9.797
46,regular,HT,Holloway,Metroline,SD,,5.0,5.0,5.0,0.0,4.0,14.167,8.803
47,twentyfour,TL,Catford,Stagecoach London,DD,,5.0,5.0,5.0,2.5,3.0,15.33,9.526
49,regular,S,Shepherd's Bush,First,DD,,5.5,5.5,5.5,0.0,5.5,10.486,6.515
50,regular,BN,Brixton Hill,Arriva,DD,,4.0,4.5,4.5,0.0,4.0,14.486,9.001
51,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,,5.0,5.0,5.0,0.0,4.0,19.425,12.07
52,twentyfour,AC,Willesden,Metroline,DD,,6.0,5.5,5.5,2.0,5.5,11.443,7.11
53,regular,PD,Plumstead,Stagecoach London,DD,,8.0,7.5,7.5,0.0,7.5,18.146,11.276
54,regular,TL,Catford,Stagecoach London,DD,,5.5,6.0,6.0,0.0,4.0,16.922,10.515
55,regular,T,Leyton,Stagecoach London,DD,,6.5,6.5,6.5,0.0,5.5,14.561,9.048
56,regular,T,Leyton,Stagecoach London,DD,,6.5,5.5,6.0,0.0,6.0,12.84,7.978
57,twentyfour,AL,Merton,Go-Ahead,DD,,5.0,4.5,5.0,2.5,4.5,18.34,11.396
58,regular,HO,Lea Interchange,Stagecoach London,DD,,5.0,5.0,5.0,0.0,4.5,12.406,7.708
59,regular,BN,Brixton Hill,Arriva,DD,,7.5,8.0,8.0,0.0,5.0,10.896,6.77
60,regular,TC,Croydon,Arriva,DD,60S,6.5,6.5,6.0,0.0,5.0,19.159,11.905
61,regular,TB,Bromley,Stagecoach London,DD,,4.0,4.0,4.0,0.0,3.0,16.774,10.423
62,regular,BK,Barking,Stagecoach London,DD,,5.0,5.0,5.0,0.0,4.0,14.599,9.071
63,regular,WL,Walworth,Transport UK,DD,,9.0,8.0,8.0,0.0,6.0,11.98,7.444
64,twentyfour,TH,Thornton Heath,Arriva,DD,,6.0,6.5,6.0,2.5,4.0,18.944,11.771
65,regular,FW,Fulwell,First,DD,,8.0,8.5,8.5,0.0,5.0,15.178,9.431
66,regular,GY,Grays,Arriva,DD,,6.0,5.5,6.0,0.0,4.0,15.42,9.582
67,regular,SF,Stamford Hill,Arriva,DD,,5.0,5.0,5.0,0.0,5.0,7.869,4.89
68,regular,WL,Walworth,Transport UK,DD,,6.0,6.5,5.5,0.0,5.0,12.685,7.882
69,twentyfour,DS,Henley Road,Go-Ahead,DD,,7.5,7.5,7.5,2.5,5.0,10.828,6.728
70,regular,S,Shepherd's Bush,First,DD,,4.5,5.5,5.0,0.0,4.5,15.011,9.327
71,regular,FW,Fulwell,First,DD,,7.5,7.5,7.5,0.0,5.0,10.233,6.358
72,regular,S,Shepherd's Bush,First,SD,,5.0,5.5,5.0,0.0,5.0,7.893,4.904
73,regular,CT,Clapton,Arriva,DD,,9.0,9.0,9.0,0.0,8.0,9.428,5.858
74,regular,AF,Putney,Go-Ahead,DD,,5.5,5.0,5.0,0.0,5.0,12.036,7.479
75,regular,TL,Catford,Stagecoach London,DD,,4.5,4.5,4.5,0.0,4.5,14.557,9.046
76,twentyfour,SF,Stamford Hill,Arriva,DD,,6.5,6.0,6.0,2.0,5.0,14.357,8.921
77,regular,SW,Stockwell,Go-Ahead,DD,,6.0,6.0,6.0,0.0,5.0,13.485,8.379
78,regular,PM,Peckham,Go-Ahead,DD,,6.0,6.0,6.0,0.0,5.0,10.852,6.743
79,regular,BT,Edgware,First,DD,,5.0,5.0,5.0,0.0,4.0,13.282,8.253
80,regular,A; GM,Ellis Road; Sutton,Go-Ahead,DD,,6.5,7.0,7.0,0.0,4.0,14.238,8.847
81,regular,SG,Lampton,Metroline,DD,,5.0,5.5,5.0,0.0,4.0,18.707,11.624
83,regular,AO; PV,Athlon Road; Perivale [East],Metroline,DD,,7.5,7.5,7.5,0.0,6.0,13.145,8.168
85,twentyfour,TV,Tolworth,First,DD,,6.0,6.0,6.0,2.5,6.0,11.61,7.214
86,regular,HO; NS,Lea Interchange; Romford,Stagecoach London,DD,,10.0,10.0,10.0,0.0,7.0,15.672,9.738
87,regular,SW,Stockwell,Go-Ahead,DD,,7.5,8.0,8.0,0.0,5.0,10.437,6.485
88,twentyfour,SW,Stockwell,Go-Ahead,DD,,6.5,6.0,6.0,2.0,5.0,14.376,8.933
89,regular,BX,Bexleyheath,Go-Ahead,DD,,5.0,5.5,5.0,0.0,3.0,18.08,11.234
90,regular,PV,Perivale [East],Metroline,DD,,5.5,5.5,5.5,0.0,4.0,18.483,11.485
91,regular,NP,Northumberland Park,Go-Ahead,DD,,5.5,5.5,5.5,0.0,5.5,10.516,6.534
92,regular,G,Greenford,Metroline,DD,,5.0,5.5,5.0,0.0,4.5,15.651,9.725
93,twentyfour,A,Sutton,Go-Ahead,DD,,9.0,8.0,8.0,2.5,5.5,14.724,9.149
94,twentyfour,S,Shepherd's Bush,First,DD,,6.5,7.0,7.0,2.5,5.5,10.359,6.437
95,regular,G,Greenford,Metroline,DD,,5.0,5.0,5.0,0.0,2.5,15.903,9.882
96,regular,DT,Dartford,Arriva,DD,,8.0,7.5,7.5,0.0,5.0,19.773,12.286
97,regular,HO,Lea Interchange,Stagecoach London,DD,,7.5,7.0,7.5,0.0,5.0,13.35,8.295
98,regular,AC,Willesden,Metroline,DD,,7.5,7.0,7.0,0.0,5.5,10.551,6.556
99,regular,BX,Bexleyheath,Go-Ahead,DD,,5.0,4.5,4.5,0.0,4.5,17.677,10.984
100,regular,Q,Camberwell,Go-Ahead,SD,,5.0,5.0,5.0,0.0,4.0,6.413,3.985
101,regular,RR,River Road,Go-Ahead,DD,,5.0,5.0,5.0,0.0,4.0,8.454,5.253
102,twentyfour,AD,Palmers Green,Arriva,DD,,8.0,7.5,7.5,2.0,5.0,19.766,12.282
103,regular,GY,Grays,Arriva,DD,,5.5,5.5,5.5,0.0,4.0,14.474,8.994
104,regular,RR,River Road,Go-Ahead,DD,,7.5,7.5,7.5,0.0,5.0,6.854,4.259
105,twentyfour,WK,Hounslow Heath,First,DD,,5.0,5.0,5.0,2.5,5.0,16.529,10.271
106,regular,NP,Northumberland Park,Go-Ahead,DD,,6.0,5.0,5.0,0.0,5.0,10.195,6.335
107,regular,PB,Potters Bar,Metroline,DD,,4.0,4.0,4.0,0.0,4.0,18.514,11.504
108,twentyfour,NX; Q,Camberwell; New Cross,Go-Ahead,SD,108D,5.0,5.5,5.5,2.5,4.0,17.423,10.826
109,regular,BC,Beddington,Transport UK,DD,,8.5,7.5,8.0,0.0,4.5,11.257,6.995
110,regular,AV,Hounslow,First,SD,110R,3.0,3.0,3.0,0.0,3.0,18.823,11.696
111,twentyfour,TF,Fulwell (Twickenham),Transport UK,DD,,6.0,6.0,6.0,2.0,5.0,25.017,15.545
112,regular,W,Cricklewood,Metroline,SD,,6.0,6.0,6.0,0.0,5.0,17.432,10.832
113,regular,EW,Edgware,Metroline,DD,,7.0,6.5,6.5,0.0,5.0,17.891,11.117
114,regular,UX,Uxbridge Industrial Estate,Metroline,DD,,6.5,5.5,6.0,0.0,5.0,19.245,11.958
115,regular,DS,Henley Road,Go-Ahead,DD,,8.0,7.5,7.5,0.0,6.0,10.968,6.815
116,regular,WK,Hounslow Heath,First,DD,,5.0,5.0,5.0,0.0,3.0,9.237,5.74
117,regular,AV,Hounslow,First,SD,,3.0,3.0,3.0,0.0,2.0,17.158,10.662
119,twentyfour,C,Croydon,Go-Ahead,DD,,5.0,4.5,5.0,2.0,4.5,17.703,11.0
120,regular,SG,Lampton,Metroline,DD,,6.0,6.5,6.0,0.0,5.5,13.207,8.207
121,regular,E,Enfield,Arriva,DD,,6.5,5.5,6.0,0.0,6.0,19.111,11.875
122,regular,PD,Plumstead,Stagecoach London,DD,,5.0,5.5,5.0,0.0,4.5,18.314,11.38
123,twentyfour,AR,Tottenham,Arriva,DD,,6.0,6.0,6.0,2.5,4.0,18.506,11.499
124,regular,TL,Catford,Stagecoach London,SD,,6.5,6.5,6.0,0.0,4.0,13.582,8.439
125,regular,BT,Edgware,First,DD,,6.0,6.0,6.0,0.0,4.0,16.919,10.513
126,regular,SM,Sydenham,Go-Ahead,SD,,6.0,6.5,6.0,0.0,3.0,10.63,6.605
127,regular,C,Croydon,Go-Ahead,DD,,5.0,5.5,5.5,0.0,4.0,15.564,9.671
128,twentyfour,NS,Romford,Stagecoach London,DD,,5.0,5.0,5.0,2.0,3.0,18.717,11.63
129,regular,DS,Henley Road,Go-Ahead,DD,,8.0,7.5,7.5,0.0,5.0,19.959,12.402
130,regular,BC,Beddington,Transport UK,SD,,5.0,5.0,5.0,0.0,3.0,16.04,9.967
131,regular,AL,Merton,Go-Ahead,DD,,7.5,7.0,7.0,0.0,5.0,12.744,7.919
132,regular,BX,Bexleyheath,Go-Ahead,DD,,6.5,6.5,6.0,0.0,4.0,17.427,10.829
133,regular,QB,Battersea,Transport UK,DD,,6.5,6.5,6.5,0.0,4.0,13.243,8.229
134,twentyfour,PB,Potters Bar,Metroline,DD,,7.5,7.5,7.5,2.0,6.5,12.743,7.918
135,regular,HO,Lea Interchange,Stagecoach London,DD,,6.0,5.5,6.0,0.0,4.0,13.391,8.321
136,regular,TL,Catford,Stagecoach London,DD,,6.0,6.5,6.0,0.0,4.0,16.93,10.52
137,regular,BN,Brixton Hill,Arriva,DD,,10.0,9.0,9.0,0.0,7.5,10.773,6.694
138,regular,TL,Catford,Stagecoach London,SD,,2.0,2.0,2.0,0.0,2.0,7.805,4.85
139,twentyfour,W,Cricklewood,Metroline,DD,,8.0,7.5,7.5,2.5,5.0,12.504,7.77
140,regular,HD,Harrow Weald,Metroline,DD,,7.0,6.5,6.5,0.0,4.5,15.603,9.695
141,regular,AD; WN,Palmers Green; Wood Green,Arriva,DD,,10.0,9.0,9.0,0.0,6.0,13.07,8.122
142,regular,EW,Edgware,Metroline,DD,,5.0,5.0,5.0,0.0,4.0,20.213,12.56
143,regular,W,Cricklewood,Metroline,SD,,5.0,5.0,5.0,0.0,4.0,12.745,7.92
144,regular,NP,Northumberland Park,Go-Ahead,DD,,6.5,6.0,6.0,0.0,6.0,10.785,6.701
145,regular,BK,Barking,Stagecoach London,DD,,5.0,5.0,5.0,0.0,4.5,19.611,12.185
146,regular,TB,Bromley,Stagecoach London,SD,,1.0,1.0,1.0,0.0,1.0,10.067,6.255
147,regular,RR,River Road,Go-Ahead,DD,,7.5,7.5,7.5,0.0,5.5,10.884,6.763
148,twentyfour,S,Shepherd's Bush,First,DD,,4.5,5.0,5.0,3.0,5.0,14.262,8.862
149,twentyfour,AR,Tottenham,Arriva,DD,,8.5,8.5,7.5,2.5,6.0,14.184,8.814
150,regular,DX,Barking,Arriva,DD,,5.5,5.0,5.0,0.0,3.0,15.203,9.447
151,regular,A,Sutton,Go-Ahead,DD,,5.5,5.5,5.5,0.0,3.0,15.077,9.369
152,regular,AL,Merton,Go-Ahead,SD,,5.0,5.0,5.0,0.0,3.0,12.9,8.015
153,regular,HT,Holloway,Metroline,SD,,4.5,4.0,4.0,0.0,4.0,8.76,5.443
154,regular,A,Sutton,Go-Ahead,DD,,5.5,5.0,5.5,0.0,5.5,17.025,10.579
155,regular,SW,Stockwell,Go-Ahead,DD,,7.5,7.0,7.0,0.0,5.0,10.561,6.563
156,regular,QB,Battersea,Transport UK,DD,,5.5,5.5,5.5,0.0,5.0,12.27,7.624
157,regular,AL,Merton,Go-Ahead,DD,,11.0,10.0,9.0,0.0,4.0,18.982,11.795
158,twentyfour,EC,Edmonton,Arriva,DD,,10.0,10.0,10.0,3.0,6.0,11.734,7.291
159,twentyfour,QB,Battersea,Transport UK,DD,,7.0,6.5,6.5,3.0,5.0,11.823,7.346
160,regular,TL,Catford,Stagecoach London,DD,,4.0,4.0,4.0,0.0,3.0,17.715,11.008
161,regular,PD,Plumstead,Stagecoach London,DD,,5.0,5.5,5.0,0.0,5.0,17.557,10.91
162,regular,SM,Sydenham,Go-Ahead,SD,,4.5,4.0,4.0,0.0,3.0,20.16,12.527
163,regular,AL,Merton,Go-Ahead,SD,163S,6.5,6.0,6.5,0.0,5.0,8.235,5.117
164,regular,AL,Merton,Go-Ahead,SD,,6.0,6.0,6.0,0.0,4.0,10.753,6.681
165,regular,RM,Rainham,Stagecoach London,SD,,5.0,5.0,5.0,0.0,3.0,17.445,10.84
166,regular,TC,Croydon,Arriva,SD,,3.0,3.0,3.0,0.0,2.5,25.822,16.045
167,regular,BK,Barking,Stagecoach London,SD,,3.0,3.0,3.0,0.0,2.0,13.862,8.613
169,regular,BK,Barking,Stagecoach London,DD,,5.5,5.5,6.0,0.0,4.0,10.231,6.357
170,regular,SW,Stockwell,Go-Ahead,SD,,6.0,6.0,6.0,0.0,5.0,13.494,8.385
171,regular,NX,New Cross,Go-Ahead,DD,,5.0,4.5,4.5,0.0,4.5,14.292,8.881
172,regular,NX,New Cross,Go-Ahead,DD,,6.5,6.0,6.0,0.0,4.0,11.319,7.034
173,regular,BK,Barking,Stagecoach London,DD,,5.5,5.0,5.5,0.0,4.0,15.562,9.67
174,regular,RM,Rainham,Stagecoach London,DD,,6.5,7.5,6.5,0.0,4.5,17.724,11.013
175,regular,DX,Barking,Arriva,DD,,6.0,6.5,6.0,0.0,4.0,13.77,8.556
176,twentyfour,Q,Camberwell,Go-Ahead,DD,,6.0,6.0,6.0,3.0,6.0,15.883,9.869
177,regular,PD,Plumstead,Stagecoach London,DD,,5.0,5.0,5.0,0.0,5.0,18.996,11.803
178,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,,3.0,3.0,3.0,0.0,3.0,11.069,6.878
179,regular,BK,Barking,Stagecoach London,DD,,5.0,5.0,5.0,0.0,3.0,13.685,8.504
180,regular,PD,Plumstead,Stagecoach London,DD,,6.0,6.0,6.0,0.0,4.0,19.002,11.807
181,regular,KB,Kangley Bridge Road,Stagecoach London,SD,,5.0,5.0,5.0,0.0,4.0,13.002,8.079
182,regular,HD,Harrow Weald,Metroline,DD,,7.0,6.5,6.5,0.0,5.5,19.741,12.267
183,regular,SO,Harrow,First,DD,,6.0,6.0,6.5,0.0,5.0,17.394,10.808
184,regular,NP,Northumberland Park,Go-Ahead,SD,184S,5.5,5.0,5.5,0.0,5.0,16.152,10.037
185,regular,Q,Camberwell,Go-Ahead,DD,,6.0,6.5,6.5,0.0,4.5,15.699,9.755
186,regular,HD,Harrow Weald,Metroline,DD,,4.5,5.0,5.0,0.0,4.5,20.559,12.775
187,regular,WJ,Willesden Junction,Metroline,SD,,4.0,4.0,4.0,0.0,3.0,12.81,7.96
188,twentyfour,Q,Camberwell,Go-Ahead,DD,,5.5,5.5,5.5,3.5,5.0,16.132,10.024
189,twentyfour,W,Cricklewood,Metroline,DD,,6.5,6.5,6.0,2.0,5.0,11.984,7.447
190,regular,AH,Brentford,Metroline,SD,,4.0,4.0,4.0,0.0,3.0,10.775,6.695
191,regular,E,Enfield,Arriva,DD,,6.5,6.0,6.5,0.0,4.0,15.825,9.833
192,regular,E,Enfield,Arriva,SD,,6.0,6.5,6.0,0.0,5.0,13.136,8.162
193,regular,NS,Romford,Stagecoach London,SD,,5.5,6.0,6.0,0.0,3.0,12.797,7.952
194,regular,TC,Croydon,Arriva,DD,,5.0,5.0,5.0,0.0,3.0,18.485,11.486
195,regular,GW,Southall,Transport UK,SD,,4.5,4.5,4.5,0.0,4.0,16.589,10.308
196,regular,N,Norwood,Arriva,DD,,5.0,5.0,5.0,0.0,3.0,15.292,9.502
197,regular,PM,Peckham,Go-Ahead,DD,,5.0,5.0,5.0,0.0,3.0,16.108,10.009
198,regular,N,Norwood,Arriva,DD,,5.0,5.0,5.0,0.0,3.0,11.193,6.955
199,regular,TL,Catford,Stagecoach London,DD,,5.0,5.0,5.0,0.0,4.0,10.757,6.684
200,regular,AL,Merton,Go-Ahead,DD,,6.5,7.0,6.5,0.0,5.0,12.013,7.465
201,regular,BC,Beddington,Transport UK,SD,,3.5,3.5,3.5,0.0,3.0,12.92,8.028
202,regular,N,Norwood,Arriva,DD,,6.5,6.0,6.0,0.0,4.0,13.473,8.371
203,regular,AV,Hounslow,First,DD,,3.0,3.0,3.0,0.0,2.0,15.724,9.77
204,regular,EW,Edgware,Metroline,DD,,6.0,5.5,6.0,0.0,4.0,14.286,8.877
205,regular,BW,Bow,Stagecoach London,DD,,5.5,5.5,5.5,0.0,5.0,12.959,8.052
206,regular,WJ,Willesden Junction,Metroline,SD,,5.0,4.5,5.0,0.0,3.0,14.544,9.037
207,regular,GW,Southall,Transport UK,DD,,10.0,10.0,10.0,0.0,7.5,14.287,8.877
208,regular,MB,Orpington,Go-Ahead,DD,,5.0,5.0,5.0,0.0,4.0,18.599,11.557
209,regular,SW,Stockwell,Go-Ahead,SD,,2.0,2.0,2.0,0.0,2.0,3.064,1.904
210,regular,W,Cricklewood,Metroline,DD,,6.0,6.0,6.0,0.0,5.0,12.141,7.544
211,regular,QB,Battersea,Transport UK,DD,,6.5,5.5,5.5,0.0,4.0,9.468,5.883
212,regular,NP,Northumberland Park,Go-Ahead,DD,,6.5,7.5,7.0,0.0,4.0,9.273,5.762
213,twentyfour,A,Sutton,Go-Ahead,DD,,5.0,5.0,5.0,2.5,4.5,14.66,9.109
214,twentyfour,RA,Waterloo,Go-Ahead,SD,,8.0,8.0,8.0,2.0,5.0,9.493,5.899
215,regular,T,Leyton,Stagecoach London,DD,,3.0,3.0,3.0,0.0,2.0,8.858,5.504
216,regular,FW,Fulwell,First,SD,,3.0,3.0,3.0,0.0,2.0,20.971,13.031
217,regular,E,Enfield,Arriva,DD,,5.0,5.0,5.0,0.0,3.5,14.075,8.746
218,regular,X,Westbourne Park,First,SD,,5.0,5.0,5.0,0.0,5.0,9.017,5.603
219,regular,AL,Merton,Go-Ahead,SD,,5.0,5.0,5.0,0.0,4.0,9.934,6.172
220,twentyfour,V,Stamford Brook,First,DD,,7.0,7.5,7.5,2.5,6.0,12.343,7.67
221,regular,WN,Wood Green,Arriva,DD,,7.5,7.5,7.5,0.0,5.0,17.13,10.644
222,twentyfour,UX,Uxbridge Industrial Estate,Metroline,DD,,6.0,6.0,6.0,3.0,5.0,17.066,10.604
223,regular,WJ,Willesden Junction,Metroline,SD,,3.0,3.0,3.0,0.0,2.0,13.844,8.602
224,regular,AO,Athlon Road,Metroline,SD,,3.0,3.0,3.0,0.0,2.5,12.455,7.739
225,regular,TL,Catford,Stagecoach London,SD,,3.0,3.0,3.0,0.0,3.0,8.928,5.547
226,regular,BT,Edgware,First,SD,,5.5,5.0,5.0,0.0,3.0,15.989,9.935
227,regular,SM,Sydenham,Go-Ahead,SD,,7.0,6.5,6.5,0.0,4.5,8.886,5.521
228,regular,WJ,Willesden Junction,Metroline,SD,,2.0,2.0,2.0,0.0,2.0,14.885,9.249
229,regular,DT,Dartford,Arriva,DD,,5.0,5.0,5.0,0.0,4.0,21.546,13.388
230,regular,NP,Northumberland Park,Go-Ahead,DD,,4.0,4.0,4.0,0.0,4.0,11.92,7.407
231,regular,PB,Potters Bar,Metroline,DD,,4.0,4.0,4.0,0.0,3.0,10.243,6.365
232,regular,NP,Northumberland Park,Go-Ahead,SD,,5.0,5.0,5.0,0.0,3.0,21.565,13.4
233,regular,MB,Orpington,Go-Ahead,SD,,3.5,3.0,3.0,0.0,2.0,14.681,9.122
234,regular,HT,Holloway,Metroline,SD,,5.0,5.0,5.0,0.0,3.0,14.92,9.271
235,regular,WK,Hounslow Heath,First,SD,,7.5,7.0,7.5,0.0,5.0,15.84,9.843
236,regular,HO,Lea Interchange,Stagecoach London,SD,,6.0,6.0,6.0,0.0,5.0,11.157,6.933
237,regular,AH,Brentford,Metroline,DD,,6.5,6.5,6.5,0.0,4.5,14.895,9.255
238,twentyfour,BK,Barking,Stagecoach London,DD,,6.0,6.0,6.0,2.5,4.0,7.634,4.744
240,regular,EW,Edgware,Metroline,DD,,4.5,4.0,4.0,0.0,3.0,12.359,7.679
241,regular,WH,West Ham,Stagecoach London,DD,,5.5,6.0,5.0,0.0,5.0,12.06,7.494
242,regular,HK,Ash Grove,Stagecoach London,DD,,5.0,5.0,5.0,0.0,4.5,9.231,5.736
243,twentyfour,AR,Tottenham,Arriva,DD,,7.0,7.5,7.5,2.5,7.5,15.892,9.875
244,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,,5.5,5.0,5.5,0.0,4.0,15.489,9.624
245,regular,AO; PV,Athlon Road; Perivale [East],Metroline,DD,,6.0,6.5,6.0,0.0,5.0,15.215,9.454
246,regular,TB,Bromley,Stagecoach London,SD,,2.0,2.0,2.0,0.0,1.0,21.725,13.499
247,regular,NS,Romford,Stagecoach London,DD,,5.5,5.5,6.0,0.0,3.0,13.254,8.236
248,regular,GY,Grays,Arriva,DD,,7.5,7.5,7.5,0.0,4.0,11.13,6.916
249,regular,N,Norwood,Arriva,DD,,6.0,6.0,6.0,0.0,5.0,13.083,8.129
250,regular,TH,Thornton Heath,Arriva,DD,,8.5,8.5,8.0,0.0,5.0,11.963,7.434
251,regular,EW,Edgware,Metroline,SD,,5.5,5.0,5.0,0.0,3.0,14.787,9.188
252,regular,RM,Rainham,Stagecoach London,DD,,6.0,6.0,6.0,0.0,4.0,13.606,8.455
253,regular,CT,Clapton,Arriva,DD,,8.0,7.0,7.5,0.0,7.5,12.084,7.509
254,regular,SF,Stamford Hill,Arriva,DD,,8.0,7.0,7.5,0.0,7.5,12.898,8.015
255,regular,TH,Thornton Heath,Arriva,SD,,4.5,4.5,4.5,0.0,4.0,9.34,5.804
256,regular,NS; RM,Rainham; Romford,Stagecoach London,DD,,5.0,5.0,5.0,0.0,2.5,11.139,6.921
257,regular,T,Leyton,Stagecoach London,DD,,8.0,8.0,8.0,0.0,5.0,8.589,5.337
258,regular,HD,Harrow Weald,Metroline,DD,,4.0,4.0,4.0,0.0,3.0,16.464,10.23
259,regular,AR,Tottenham,Arriva,DD,,6.0,6.0,6.0,0.0,5.0,12.812,7.961
260,regular,AC,Willesden,Metroline,DD,,5.0,5.0,5.0,0.0,4.0,16.798,10.438
261,regular,TB,Bromley,Stagecoach London,DD,,5.0,5.0,5.0,0.0,4.0,14.581,9.06
262,regular,RR,River Road,Go-Ahead,DD,,5.5,5.5,5.5,0.0,4.0,9.232,5.736
263,regular,PB,Potters Bar,Metroline,DD,,6.0,6.0,6.0,0.0,5.0,16.966,10.542
264,twentyfour,C,Croydon,Go-Ahead,DD,,5.0,4.5,5.0,2.0,4.0,10.534,6.545
265,regular,AF,Putney,Go-Ahead,SD,,4.5,4.5,4.5,0.0,4.5,17.608,10.941
266,regular,W,Cricklewood,Metroline,DD,,7.0,7.5,7.5,0.0,6.0,12.947,8.045
267,regular,TF,Fulwell (Twickenham),Transport UK,DD,,6.0,5.5,5.5,0.0,4.5,13.831,8.594
268,regular,W,Cricklewood,Metroline,SD,,4.0,4.0,4.0,0.0,3.0,5.839,3.628
