route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
H13,regular,UX,Uxbridge Industrial Estate,Metroline,SD,Ruislip Lido,"Northwood Hills, St Vincent's",,St Vincent's Nursing Home,Ruislip Lido,"Northwood Hills, St Vincent's, St Vincent's Nursing Home",,3.0,3.0,3.0,0.0,3.0,12.374,7.689
H14,regular,BT,Edgware,First,DD,Northwick Park Hospital,Hatch End,,St Thomas' Drive,Northwick Park Hospital,"Hatch End, St Thomas' Drive",,6.0,6.0,6.0,0.0,4.0,6.891,4.282
H17,regular,WJ,Willesden Junction,Metroline,SD,Wembley Central,Harrow,Wembley Central Station,Harrow Bus Station,Wembley Central,Harrow,,4.5,4.0,4.0,0.0,3.5,7.904,4.911
H18,regular,SO,Harrow,First,SD,Harrow,,Harrow Bus Station,,Harrow,,,3.0,3.0,3.0,0.0,2.0,14.03,8.718
H19,regular,SO,Harrow,First,SD,Harrow,,Kymberley Road,,"Harrow, Kymberley Road",,,3.5,3.0,3.0,0.0,2.0,14.443,8.974
H20,regular,TF,Fulwell (Twickenham),Transport UK,SD,"Ivybridge, Tesco","Hounslow Central, Lampton Park",Twickenham Tesco,Civic Street,"Ivybridge, Tesco, Twickenham Tesco","Hounslow Central, Lampton Park, Civic Street",,5.0,4.5,4.5,0.0,3.0,6.861,4.263
H22,regular,AV,Hounslow,First,SD,West Middlesex Hospital,"Hounslow, Bell Corner",,Bell Corner / Hounslow House,West Middlesex Hospital,"Hounslow, Bell Corner, Bell Corner / Hounslow House",,5.0,5.0,5.0,0.0,3.0,12.037,7.479
H25,regular,TF,Fulwell (Twickenham),Transport UK,SD,Hatton Cross,Butts Farm,Hatton Cross Station,Churchfields Avenue,Hatton Cross,"Butts Farm, Churchfields Avenue",,5.0,5.0,5.0,0.0,5.0,12.264,7.621
H26,regular,TF,Fulwell (Twickenham),Transport UK,SD,Hatton Cross,"Feltham, Sparrow Farm",Hatton Cross Station,Central Parade,Hatton Cross,"Feltham, Sparrow Farm, Central Parade",,3.0,3.0,3.0,0.0,2.0,9.128,5.672
H28,regular,GW,Southall,Transport UK,SD,"Osterley, Tesco",Bulls Bridge,Tesco Osterley,Bulls Bridge Tesco,"Osterley, Tesco, Tesco Osterley",Bulls Bridge,,3.0,3.0,2.5,0.0,2.5,17.395,10.809
H32,regular,SG,Lampton,Metroline,DD,"Southall, Town Hall","Hounslow, Bus Station",,,"Southall, Town Hall","Hounslow, Bus Station",,4.0,4.5,4.0,0.0,4.0,9.972,6.197
H37,regular,AV,Hounslow,First,SD,"Richmond, Manor Circus","Hounslow, Blenheim Centre",Manor Road,,"Richmond, Manor Circus, Manor Road","Hounslow, Blenheim Centre",,8.0,8.5,8.0,0.0,6.0,7.971,4.953
H91,regular,AH,Brentford,Metroline,DD,Hammersmith,Hounslow West,Hammersmith Bus Station,Hounslow West Station,Hammersmith,Hounslow West,,5.5,5.5,5.5,0.0,3.5,12.513,7.775
H98,regular,AV,Hounslow,First,DD,Hayes End,"Hounslow, Bus Station",Wood End Green Road,,"Hayes End, Wood End Green Road","Hounslow, Bus Station",,5.5,6.0,5.5,0.0,5.0,13.8,8.575
K1,regular,TV,Tolworth,First,SD,Kingston,New Malden Station,Cromwell Road Bus Station,,"Kingston, Cromwell Road Bus Station",New Malden Station,,6.0,6.0,6.0,0.0,4.0,14.383,8.937
K2,regular,TV,Tolworth,First,SD,Hook,Kingston Hospital,Hook Parade,,Hook,Kingston Hospital,,5.0,5.0,5.0,0.0,4.0,12.089,7.512
K3,regular,FW,Fulwell,First,SD,Esher,Roehampton Vale,Esher High Street,Roehampton Vale / Asda,Esher,Roehampton Vale,,4.0,4.0,4.0,0.0,3.0,19.453,12.087
K4,regular,TV,Tolworth,First,SD,Ripon Gardens,Kingston Hospital,,,Ripon Gardens,Kingston Hospital,,2.0,2.0,2.0,0.0,2.0,11.452,7.116
K5,regular,TV,Tolworth,First,SD,Morden,Beaufort Road,Morden Station,,Morden,Beaufort Road,,1.5,1.5,1.5,0.0,1.5,20.374,12.66
P4,regular,NX,New Cross,Go-Ahead,SD,Brixton,Lewisham,Brixton Station,Lewisham Station,Brixton,Lewisham,,5.0,5.0,5.0,0.0,5.0,12.025,7.472
P5,regular,WL,Walworth,Transport UK,SD,Patmore Estate,Elephant & Castle,Patmore Estate / Drury House,Elephant & Castle / Newington Causeway,Patmore Estate,Elephant & Castle,,4.0,4.0,4.0,0.0,3.0,11.05,6.866
P12,regular,PM,Peckham,Go-Ahead,SD,Brockley Rise,Surrey Quays,Brockley Rise / Chandos,Surrey Quays Shopping Centre,Brockley Rise,Surrey Quays,,4.0,4.0,4.0,0.0,4.0,14.261,8.862
P13,regular,WL,Walworth,Transport UK,SD,New Cross Sainsbury's,Streatham Station,,,New Cross Sainsbury's,Streatham Station,,3.5,3.5,3.5,0.0,3.0,14.733,9.155
R1,regular,MB,Orpington,Go-Ahead,SD,Green Street Green,Grovelands Road,High Street / Worlds End Lane,,"Green Street Green, High Street / Worlds End Lane",Grovelands Road,,3.0,3.0,3.0,0.0,3.0,14.04,8.724
R2,regular,MB,Orpington,Go-Ahead,SD,Biggin Hill Valley,"Orpington, Walnuts Centre",East Hill,Orpington Police Station,"Biggin Hill Valley, East Hill","Orpington, Walnuts Centre, Orpington Police Station",,2.0,2.0,2.0,0.0,2.0,14.337,8.909
R3,regular,MB,Orpington,Go-Ahead,SD,Orpington Station,Princess Royal Hospital,,Princess Royal University Hospital,Orpington Station,"Princess Royal Hospital, Princess Royal University Hospital",,3.0,3.0,3.0,0.0,2.0,15.69,9.749
R4,regular,MB,Orpington,Go-Ahead,SD,Princess Royal Hospital,Pauls Cray Hill,Princess Royal University Hospital,Augustine Road,"Princess Royal Hospital, Princess Royal University Hospital","Pauls Cray Hill, Augustine Road",,3.0,3.0,3.0,0.0,1.0,14.06,8.736
R5,regular,MB,Orpington,Go-Ahead,SD,Green Street Green,Orpington Station,High Street / Green Street Green,,Green Street Green,Orpington Station,,0.5,0.5,0.5,0.0,0.5,13.632,8.471
R7,regular,MB,Orpington,Go-Ahead,SD,Chislehurst,Chelsfield Village,Chislehurst Sainsbury's,Chelsfield Village / Five Bells,Chislehurst,Chelsfield Village,,1.5,1.5,2.0,0.0,1.0,16.65,10.346
R8,regular,MB,Orpington,Go-Ahead,SD,Biggin Hill,Orpington Station,Lebanon Gardens,,"Biggin Hill, Lebanon Gardens",Orpington Station,,0.5,1.0,0.5,0.0,0.5,13.598,8.45
R9,regular,MB,Orpington,Go-Ahead,SD,Ramsden Estate,Orpington Station,Tintagel Road / Gillmans Road,,"Ramsden Estate, Tintagel Road / Gillmans Road",Orpington Station,,4.0,4.0,4.0,0.0,2.0,4.371,2.716
R10,regular,MB,Orpington,Go-Ahead,SD,Green Street Green,Orpington Station,High Street / Green Street Green,,Green Street Green,Orpington Station,,0.5,0.5,0.5,0.0,0.5,13.546,8.417
R11,regular,MB,Orpington,Go-Ahead,SD,Green Street Green,Queen Mary's Hospital,High Street / Worlds End Lane,Sidcup / Queen Mary's Hospital,"Green Street Green, High Street / Worlds End Lane",Queen Mary's Hospital,,4.5,4.5,4.5,0.0,3.0,12.933,8.036
R68,regular,TF,Fulwell (Twickenham),Transport UK,SD,Hampton Court,"Kew, Retail Park",Hampton Court Station,,Hampton Court,"Kew, Retail Park",,4.0,4.0,4.0,0.0,4.0,14.678,9.121
R70,regular,TF,Fulwell (Twickenham),Transport UK,SD,"Richmond, Manor Circus","Hampton, The Avenue",Richmond / Manor Road,Nurserylands Shopping Centre,"Richmond, Manor Circus, Richmond / Manor Road","Hampton, The Avenue, Nurserylands Shopping Centre",,5.0,5.0,5.0,0.0,4.0,11.948,7.424
S1,regular,BC,Beddington,Transport UK,SD,Lavender Fields,Banstead,Victoria Road / Lavender Fields,Banstead / Marks & Spencer,Lavender Fields,Banstead,,4.0,4.5,4.0,0.0,3.0,18.982,11.795
S2,regular,A,Sutton,Go-Ahead,SD,St Helier Station,Epsom,,Epsom High Street,St Helier Station,Epsom,,3.0,3.0,3.0,0.0,2.0,15.278,9.493
S3,regular,BC,Beddington,Transport UK,SD,Malden Manor,Sutton Hospital,Malden Manor Station,Belmont Station,Malden Manor,"Sutton Hospital, Belmont Station",,3.0,3.0,3.0,0.0,3.0,21.669,13.464
S4,regular,C,Croydon,Go-Ahead,SD,Marshall's Road,Waddon Marsh,Sutton / Marshall's Road,Waddon Marsh Sainsbury's,Marshall's Road,Waddon Marsh,,2.0,2.0,2.0,0.0,2.0,21.776,13.531
U1,regular,UX,Uxbridge Industrial Estate,Metroline,DD,West Drayton,Ruislip,West Drayton Station,Ruislip Station,West Drayton,Ruislip,,4.0,4.0,4.0,0.0,2.0,13.082,8.129
U2,regular,UX,Uxbridge Industrial Estate,Metroline,SD,Uxbridge,Brunel University,Belmont Road,,"Uxbridge, Belmont Road",Brunel University,,6.0,6.0,6.0,0.0,3.0,9.503,5.905
U3,regular,UX,Uxbridge Industrial Estate,Metroline,DD,Heathrow Central,Uxbridge,Heathrow Central Bus Station,Belmont Road,Heathrow Central,"Uxbridge, Belmont Road",,5.0,5.0,5.0,0.0,3.0,15.832,9.838
U4,regular,UX,Uxbridge Industrial Estate,Metroline,DD,Uxbridge,"Hayes, Prologis Park",Belmont Road,Prologis Park,"Uxbridge, Belmont Road","Hayes, Prologis Park",,6.0,5.5,6.0,0.0,5.0,12.396,7.703
U5,regular,DH,Hayes,Transport UK,DD,Hayes & Harlington Station,Uxbridge,Blyth Road,York Road,"Hayes & Harlington Station, Blyth Road","Uxbridge, York Road",,5.0,5.0,5.0,0.0,3.0,15.078,9.369
U7,regular,DH,Hayes,Transport UK,SD,Lombardy Retail Park,Uxbridge,,Belmont Road,Lombardy Retail Park,"Uxbridge, Belmont Road",,2.0,2.0,2.0,0.0,2.0,11.704,7.272
U9,regular,DH,Hayes,Transport UK,SD,Harefield Hospital,Uxbridge,,Belmont Road,Harefield Hospital,"Uxbridge, Belmont Road",,3.0,3.0,3.0,0.0,1.0,9.284,5.769
U10,regular,UX,Uxbridge Industrial Estate,Metroline,SD,"Ruislip, Heathfield Rise",Uxbridge,Glenhurst Avenue,Belmont Road,"Ruislip, Heathfield Rise, Glenhurst Avenue","Uxbridge, Belmont Road",,0.5,0.5,0.5,0.0,0.5,10.181,6.326
W3,regular,WN,Wood Green,Arriva,DD,Finsbury Park Station,Northumberland Park,,Northumberland Park Bus Stand,Finsbury Park Station,Northumberland Park,,8.5,10.0,10.0,0.0,6.0,11.541,7.171
W4,regular,WN,Wood Green,Arriva,SD,"Tottenham Hale, Ferry Lane",Oakthorpe Park,Ferry Lane Primary School,Mitchell Road,"Tottenham Hale, Ferry Lane, Ferry Lane Primary School","Oakthorpe Park, Mitchell Road",,6.0,6.0,6.0,0.0,5.0,11.03,6.853
W5,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Harringay Sainsbury's,Archway,,Archway Station,Harringay Sainsbury's,Archway,,5.0,5.0,5.0,0.0,3.0,7.089,4.405
W6,regular,WN,Wood Green,Arriva,SD,Edmonton Green,Southgate,Edmonton Green Bus Station,Southgate Station,Edmonton Green,Southgate,,6.5,6.0,6.0,0.0,4.0,7.663,4.762
W7,regular,HT,Holloway,Metroline,DD,Finsbury Park Station,Muswell Hill,,Muswell Hill Broadway,Finsbury Park Station,Muswell Hill,,12.0,12.0,8.5,0.0,7.0,4.875,3.029
W8,regular,PB,Potters Bar,Metroline,DD,Picketts Lock Centre,Chase Farm Hospital,,Chase Farm Hospital / Main Entrance,Picketts Lock Centre,Chase Farm Hospital,,8.0,7.5,7.5,0.0,5.0,10.157,6.311
W9,regular,PB,Potters Bar,Metroline,SD,Southgate,Chase Farm Hospital,Southgate Station,Chase Farm Hospital / Main Entrance,Southgate,Chase Farm Hospital,,4.0,4.0,4.0,0.0,2.0,12.538,7.791
W11,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Walthamstow Central,Chingford Hall Estate,Walthamstow Central Station,,Walthamstow Central,Chingford Hall Estate,,5.0,5.0,5.0,0.0,10.0,7.676,4.77
W12,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Woodford Bridge,"Walthamstow, Coppermill Lane",Cross Road,Rensburg Road,"Woodford Bridge, Cross Road","Walthamstow, Coppermill Lane, Rensburg Road",,4.5,4.0,4.0,0.0,3.0,18.984,11.796
W13,regular,HO,Lea Interchange,Stagecoach London,SD,Woodford Wells,"Leyton Mills, Retail Park",St Thomas of Canterbury Church,Leyton Mills,"Woodford Wells, St Thomas of Canterbury Church","Leyton Mills, Retail Park",W13S,4.0,4.0,4.0,0.0,3.0,10.83,6.73
W14,regular,HO,Lea Interchange,Stagecoach London,SD,Loughton,Whipps Cross,Loughton Station,Whipps Cross Bus Stand,Loughton,Whipps Cross,,1.0,1.0,1.0,0.0,1.0,14.419,8.96
W15,regular,NP,Northumberland Park,Go-Ahead,SD,Hackney Town Hall,"Higham Hill, Cogan Avenue",,,Hackney Town Hall,"Higham Hill, Cogan Avenue",,6.0,6.0,6.0,0.0,5.0,15.347,9.536
W16,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Leytonstone,Chingford Mount,Leytonstone Station / Grove Green Road,,Leytonstone,Chingford Mount,,4.5,5.0,4.5,0.0,4.5,10.043,6.241
W19,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Ilford,"Walthamstow, Argall Avenue",Hainault Street,Argall Avenue Industrial Estate,"Ilford, Hainault Street","Walthamstow, Argall Avenue, Argall Avenue Industrial Estate",,4.0,6.5,5.5,0.0,3.0,17.053,10.596
SL1,regular,AD,Palmers Green,Arriva,DD,Walthamstow Central,North Finchley,Walthamstow Central Station,North Finchley Bus Station,Walthamstow Central,North Finchley,,5.0,5.0,5.0,0.0,4.0,14.68,9.122
SL2,regular,AR,Tottenham,Arriva,DD,North Woolwich,Walthamstow,North Woolwich Ferry,Walthamstow Bus Station,North Woolwich,Walthamstow,,5.0,5.0,5.0,0.0,4.5,18.991,11.801
SL3,regular,TB,Bromley,Stagecoach London,DD,Bromley North,Thamesmead,Bromley North Station,Thamesmead Town Centre,Bromley North,Thamesmead,,5.0,5.0,5.0,0.0,4.0,22.989,14.285
SL4,regular,DS,Henley Road,Go-Ahead,DD,Grove Park,Canary Wharf,Grove Park Bus Station,West India Avenue,Grove Park,"Canary Wharf, West India Avenue",,7.5,7.5,7.5,0.0,4.0,14.483,8.999
SL5,regular,TC,Croydon,Arriva,DD,Park Street,Bromley North,,Bromley North Station,Park Street,Bromley North,,5.0,5.0,5.0,0.0,4.0,12.513,7.775
SL6,regular,N,Norwood,Arriva,DD,Russell Square,West Croydon,,West Croydon Bus Station,Russell Square,West Croydon,,2.5,0.0,0.0,0.0,0.0,18.958,11.78
SL7,regular,C,Croydon,Go-Ahead,DD,Heathrow Central,West Croydon,Heathrow Central Bus Station,West Croydon Bus Station,Heathrow Central,West Croydon,,4.0,4.0,4.0,0.0,4.0,40.36,25.079
SL8,regular,G,Greenford,Metroline,DD,White City,Uxbridge,White City Bus Station,Belmont Road,White City,"Uxbridge, Belmont Road",,7.5,7.0,7.5,0.0,6.5,21.467,13.339
SL9,regular,SO,Harrow,First,DD,Harrow Bus Station,Heathrow Central,,Heathrow Central Bus Station,Harrow Bus Station,Heathrow Central,,4.5,4.5,4.5,0.0,4.0,16.869,10.482
SL10,regular,SO,Harrow,First,DD,Harrow Bus Station,North Finchley,,North Finchley Bus Station,Harrow Bus Station,North Finchley,,5.0,5.0,5.0,0.0,4.0,14.708,9.139
SL11,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Gayton Road / Abbey Wood Station,North Greenwich Station,,,Gayton Road / Abbey Wood Station,North Greenwich Station,,10.0,10.0,10.0,0.0,5.0,14.782,9.185
N1,night,Q,Camberwell,Go-Ahead,DD,Thamesmead,Tottenham Court Road,Titmuss Avenue,,"Thamesmead, Titmuss Avenue",Tottenham Court Road,,0.0,0.0,0.0,2.0,2.0,27.359,17.0
N2,night,N,Norwood,Arriva,DD,Marylebone,Crystal Palace,Marylebone Station,Crystal Palace Parade,Marylebone,Crystal Palace,,0.0,0.0,0.0,3.0,0.0,15.781,9.806
N3,night,WL,Walworth,Transport UK,DD,Bromley North,Oxford Circus,Bromley North Station,Margaret Street / Oxford Circus,Bromley North,Oxford Circus,,0.0,0.0,0.0,3.0,0.0,25.499,15.844
N5,night,BT,Edgware,First,DD,Trafalgar Square,Edgware,Whitehall / Trafalgar Square,Edgware Station,Trafalgar Square,Edgware,,0.0,0.0,0.0,2.0,0.0,21.736,13.506
N7,night,PV,Perivale [East],Metroline,DD,Oxford Circus,Northolt,Oxford Circus Station / John Lewis,Northolt Station,Oxford Circus,Northolt,,0.0,0.0,0.0,2.0,2.0,24.901,15.472
N8,night,BW,Bow,Stagecoach London,DD,Oxford Circus,"Hainault, The Lowe",Great Titchfield St / Oxford Circus Stn,The Lowe,Oxford Circus,"Hainault, The Lowe",,0.0,0.0,0.0,5.5,3.0,26.689,16.584
N9,night,AH,Brentford,Metroline,DD,Heathrow Terminal 5,Aldwych,,Aldwych / Drury Lane,Heathrow Terminal 5,Aldwych,,0.0,0.0,0.0,2.0,2.5,32.893,20.439
N11,night,SW,Stockwell,Go-Ahead,DD,"Whitehall, Horse Guards",Ealing Broadway,Horse Guards Parade,Ealing Broadway Stn / Haven Green,"Whitehall, Horse Guards, Horse Guards Parade",Ealing Broadway,,0.0,0.0,0.0,1.5,1.5,21.395,13.294
N15,night,DS; RR,Henley Road; River Road,Go-Ahead,DD,Oxford Circus,Romford Market,Margaret Street / Oxford Circus,,Oxford Circus,Romford Market,,0.0,0.0,0.0,7.5,6.0,29.736,18.477
N18,night,X,Westbourne Park,First,DD,Trafalgar Square,Long Elmes,Whitehall / Trafalgar Square,,Trafalgar Square,Long Elmes,,0.0,0.0,0.0,4.0,0.5,23.858,14.825
N19,night,SF,Stamford Hill,Arriva,DD,Clapham Junction,Finsbury Park Station,Clapham Junction Station,Finsbury Park Interchange,Clapham Junction,"Finsbury Park Station, Finsbury Park Interchange",,0.0,0.0,0.0,1.5,1.5,16.265,10.106
N20,night,HT,Holloway,Metroline,DD,Trafalgar Square,Barnet Church,Whitehall / Trafalgar Square,Barnet Hospital,Trafalgar Square,"Barnet Church, Barnet Hospital",,0.0,0.0,0.0,2.0,2.0,22.211,13.801
N21,night,NX,New Cross,Go-Ahead,DD,Trafalgar Square,Geddes Place,Charing Cross Station,,"Trafalgar Square, Charing Cross Station",Geddes Place,,0.0,0.0,0.0,3.0,2.0,26.75,16.622
N22,night,AF,Putney,Go-Ahead,DD,Oxford Circus,Fulwell,Margaret Street / Oxford Circus,South Road / Fulwell,Oxford Circus,Fulwell,,0.0,0.0,0.0,1.5,1.5,21.397,13.295
N25,night,BW,Bow,Stagecoach London,DD,Oxford Circus,Hainault Street,Great Titchfield St / Oxford Circus Stn,,Oxford Circus,Hainault Street,,0.0,0.0,0.0,4.5,5.5,17.971,11.167
N26,night,HK,Ash Grove,Stagecoach London,DD,Chingford Station,Victoria,,Westminster Cathedral / Victoria Stn,Chingford Station,Victoria,,0.0,0.0,0.0,2.0,2.0,25.693,15.965
N27,night,QB,Battersea,Transport UK,DD,Chalk Farm,Hammersmith,Hartland Road / Camden Market,Hammersmith Bus Station,"Chalk Farm, Hartland Road / Camden Market",Hammersmith,,0.0,0.0,0.0,2.0,2.0,11.62,7.22
N28,night,WJ,Willesden Junction,Metroline,DD,Wandsworth,Camden Town,Mapleton Crescent,Camden Town Station,"Wandsworth, Mapleton Crescent",Camden Town,,0.0,0.0,0.0,1.5,1.5,17.549,10.904
N29,night,WN,Wood Green,Arriva,DD,Trafalgar Square,Enfield,Trafalgar Square / Charing Cross Stn,Little Park Gardens,Trafalgar Square,"Enfield, Little Park Gardens",,0.0,0.0,0.0,6.0,6.0,19.721,12.254
N31,night,X,Westbourne Park,First,DD,Clapham Junction,Camden Town,Clapham Junction Station,Camden Town Station,Clapham Junction,Camden Town,,0.0,0.0,0.0,1.5,1.5,17.0,10.563
N32,night,W,Cricklewood,Metroline,DD,Victoria,Edgware,Victoria Station,Edgware Station,Victoria,Edgware,,0.0,0.0,0.0,2.0,2.0,16.814,10.448
N33,night,FW,Fulwell,First,SD,Hammersmith,Fulwell,Hammersmith Bus Station,Fulwell Station,Hammersmith,Fulwell,,0.0,0.0,0.0,1.5,1.5,16.773,10.422
N38,night,CT,Clapton,Arriva,DD,Victoria,Walthamstow Central,Victoria Bus Station,Walthamstow Bus Station,Victoria,"Walthamstow Central, Walthamstow Bus Station",,0.0,0.0,0.0,4.0,3.0,17.277,10.735
N41,night,AR,Tottenham,Arriva,DD,Tottenham Hale,Trafalgar Square,Tottenham Hale Bus Station,Trafalgar Square / Charing Cross Stn,Tottenham Hale,Trafalgar Square,,0.0,0.0,0.0,1.5,1.5,16.485,10.243
N44,night,SW,Stockwell,Go-Ahead,DD,Sutton Station,Aldwych,Sutton Station / the Quadrant,Aldwych / Drury Lane,Sutton Station,Aldwych,,0.0,0.0,0.0,1.5,1.5,25.016,15.544
N53,night,PD,Plumstead,Stagecoach London,DD,"Whitehall, Horse Guards",Plumstead Station,Horse Guards Parade,Griffin Road / Plumstead Station,"Whitehall, Horse Guards, Horse Guards Parade",Plumstead Station,,0.0,0.0,0.0,4.0,2.0,19.52,12.129
N55,night,T,Leyton,Stagecoach London,DD,Oxford Circus,Woodford Wells,Great Titchfield St / Oxford Circus Stn,St Thomas of Canterbury Church,Oxford Circus,"Woodford Wells, St Thomas of Canterbury Church",,0.0,0.0,0.0,2.0,2.0,22.718,14.117
N63,night,WL,Walworth,Transport UK,DD,King's Cross,Crystal Palace,King's Cross Station / York Way,Crystal Palace Parade / College Road,King's Cross,Crystal Palace,,0.0,0.0,0.0,3.0,2.5,16.369,10.171
N65,night,FW,Fulwell,First,DD,Ealing Broadway,Chessington,Ealing Broadway Station,Chessington World of Adventures,Ealing Broadway,Chessington,,0.0,0.0,0.0,1.5,1.5,24.511,15.23
N68,night,WL,Walworth,Transport UK,DD,Tottenham Court Road,Old Coulsdon,St Giles High Street,Old Coulsdon / Tudor Rose,"Tottenham Court Road, St Giles High Street",Old Coulsdon,,0.0,0.0,0.0,2.0,2.0,30.28,18.815
N72,night,S,Shepherd's Bush,First,SD,Norley Vale,East Acton,,Brunel Road,Norley Vale,"East Acton, Brunel Road",,0.0,0.0,0.0,2.0,2.0,15.619,9.705
N73,night,CT,Clapton,Arriva,DD,Walthamstow,Oxford Circus,Walthamstow Bus Station,Great Titchfield St / Oxford Circus Stn,Walthamstow,Oxford Circus,,0.0,0.0,0.0,4.0,0.0,17.335,10.772
N74,night,AF,Putney,Go-Ahead,DD,Baker Street Station,Minstead Gardens,,,Baker Street Station,Minstead Gardens,,0.0,0.0,0.0,1.5,1.5,16.784,10.429
N83,night,PV,Perivale [East],Metroline,DD,Ealing Hospital,Golders Green,,Golders Green Station,Ealing Hospital,Golders Green,,0.0,0.0,0.0,2.0,2.0,20.177,12.537
N86,night,NS,Romford,Stagecoach London,DD,"Harold Hill, Dagnam Park Square",Stratford,Dagnam Park Square,Stratford Bus Station,"Harold Hill, Dagnam Park Square",Stratford,,0.0,0.0,0.0,2.0,2.0,23.432,14.56
N87,night,SW,Stockwell,Go-Ahead,DD,Aldwych,Kingston,Aldwych / Drury Lane,Fairfield Bus Station,Aldwych,"Kingston, Fairfield Bus Station",,0.0,0.0,0.0,4.0,4.0,25.369,15.764
N89,night,NX,New Cross,Go-Ahead,DD,Erith,Trafalgar Square,Erith Town Centre / Riverside,Charing Cross Station,Erith,"Trafalgar Square, Charing Cross Station",,0.0,0.0,0.0,2.0,0.0,34.128,21.206
N91,night,NP,Northumberland Park,Go-Ahead,DD,Trafalgar Square,Cockfosters,Whitehall / Trafalgar Square,Cockfosters Station,Trafalgar Square,Cockfosters,,0.0,0.0,0.0,2.0,2.0,23.641,14.69
N97,night,AF,Putney,Go-Ahead,DD,Trafalgar Square,Hammersmith,Whitehall / Trafalgar Square,Hammersmith Bus Station,Trafalgar Square,Hammersmith,,0.0,0.0,0.0,2.0,2.0,9.922,6.165
N98,night,HD,Harrow Weald,Metroline,DD,Holborn,Stanmore Station,Red Lion Square,,"Holborn, Red Lion Square",Stanmore Station,,0.0,0.0,0.0,4.0,4.0,22.193,13.79
N109,night,BC,Beddington,Transport UK,DD,Oxford Circus,Croydon Town Centre,Conduit Street / Hamleys Toy Store,Park Street,"Oxford Circus, Conduit Street / Hamleys Toy Store","Croydon Town Centre, Park Street",,0.0,0.0,0.0,2.5,2.5,18.456,11.468
N113,night,EW,Edgware,Metroline,DD,Trafalgar Square,Edgware,Northumberland Avenue / Trafalgar Square,Edgware Station,Trafalgar Square,Edgware,,0.0,0.0,0.0,2.0,2.0,20.008,12.432
N118,night,X,Westbourne Park,First,DD,Whitehall / Trafalgar Square,Ruislip Station,,,Whitehall / Trafalgar Square,Ruislip Station,,0.0,0.0,0.0,4.0,2.0,26.868,16.695
N133,night,QB,Battersea,Transport UK,DD,Liverpool Street,Mitcham,Liverpool Street Station,Morden Station,Liverpool Street,"Mitcham, Morden Station",,0.0,0.0,0.0,1.5,1.5,20.374,12.66
N136,night,NX,New Cross,Go-Ahead,DD,"Chislehurst, War Memorial",Oxford Circus,,Conduit Street / Hamleys Toy Store,"Chislehurst, War Memorial","Oxford Circus, Conduit Street / Hamleys Toy Store",,0.0,0.0,0.0,2.0,2.0,27.623,17.164
N137,night,BN,Brixton Hill,Arriva,DD,Oxford Circus,Crystal Palace,John Prince's Street / Oxford Circus,Crystal Palace Parade,Oxford Circus,Crystal Palace,,0.0,0.0,0.0,3.0,0.0,19.822,12.317
N140,night,HD,Harrow Weald,Metroline,DD,Long Elmes,Heathrow Central,,Heathrow Central Bus Station,Long Elmes,Heathrow Central,,0.0,0.0,0.0,2.0,0.5,21.203,13.175
N155,night,SW,Stockwell,Go-Ahead,DD,Aldwych,Morden,Aldwych / Drury Lane,Morden Station,Aldwych,Morden,,0.0,0.0,0.0,3.0,3.0,16.814,10.448
N171,night,NX,New Cross,Go-Ahead,DD,Tottenham Court Road,Hither Green Station,,Springbank Road / Hither Green Station,Tottenham Court Road,Hither Green Station,,0.0,0.0,0.0,1.5,2.0,18.866,11.723
N199,night,TL,Catford,Stagecoach London,DD,St Mary Cray Station,Trafalgar Square,,Trafalgar Square / Charing Cross Stn,St Mary Cray Station,Trafalgar Square,,0.0,0.0,0.0,2.0,2.0,34.75,21.593
N205,night,BW,Bow,Stagecoach London,DD,Drapers Field,Paddington,,Paddington Station,Drapers Field,Paddington,,0.0,0.0,0.0,2.0,2.0,18.055,11.219
N207,night,GW,Southall,Transport UK,DD,Holborn,Uxbridge,Bloomsbury Square,Belmont Road,"Holborn, Bloomsbury Square","Uxbridge, Belmont Road",,0.0,0.0,0.0,4.5,3.0,27.94,17.361
N242,night,HK,Ash Grove,Stagecoach London,DD,Tottenham Court Road,Homerton Hospital,St Giles High Street,,"Tottenham Court Road, St Giles High Street",Homerton Hospital,,0.0,0.0,0.0,2.0,2.0,12.617,7.84
N250,night,TH,Thornton Heath,Arriva,DD,Croydon Town Centre,Brixton,Fairfield Halls,Brixton Station,"Croydon Town Centre, Fairfield Halls",Brixton,,0.0,0.0,0.0,2.0,2.0,13.311,8.271
N253,night,CT,Clapton,Arriva,DD,Tottenham Court Road,Aldgate,St Giles High Street,Aldgate Station,"Tottenham Court Road, St Giles High Street",Aldgate,,0.0,0.0,0.0,2.5,2.0,18.603,11.559
